num	round	p
0	1	1.0000
0	2	0.0399
0	3	0.0004
0	4	0.0000
0	5	0.0000
0	6	0.0000
0	7	0.0000
0	8	0.0000
0	9	0.0000
0	10	0.0000
0	11	0.0000
0	12	0.0000
0	13	0.0000
0	14	0.0000
0	15	0.0000
0	16	0.0000
0	17	0.0000
0	18	0.0000
0	19	0.0000
0	20	0.0000
1	1	0.0000
1	2	0.1471
1	3	0.0026
1	4	0.0000
1	5	0.0000
1	6	0.0000
1	7	0.0000
1	8	0.0000
1	9	0.0000
1	10	0.0000
1	11	0.0000
1	12	0.0000
1	13	0.0000
1	14	0.0000
1	15	0.0000
1	16	0.0000
1	17	0.0000
1	18	0.0000
1	19	0.0000
1	20	0.0000
2	1	0.0000
2	2	0.2508
2	3	0.0188
2	4	0.0001
2	5	0.0000
2	6	0.0000
2	7	0.0000
2	8	0.0000
2	9	0.0000
2	10	0.0000
2	11	0.0000
2	12	0.0000
2	13	0.0000
2	14	0.0000
2	15	0.0000
2	16	0.0000
2	17	0.0000
2	18	0.0000
2	19	0.0000
2	20	0.0000
3	1	0.0000
3	2	0.2469
3	3	0.0619
3	4	0.0009
3	5	0.0000
3	6	0.0000
3	7	0.0000
3	8	0.0000
3	9	0.0000
3	10	0.0000
3	11	0.0000
3	12	0.0000
3	13	0.0000
3	14	0.0000
3	15	0.0000
3	16	0.0000
3	17	0.0000
3	18	0.0000
3	19	0.0000
3	20	0.0000
4	1	0.0000
4	2	0.1760
4	3	0.1234
4	4	0.0067
4	5	0.0003
4	6	0.0000
4	7	0.0000
4	8	0.0000
4	9	0.0000
4	10	0.0000
4	11	0.0000
4	12	0.0000
4	13	0.0000
4	14	0.0000
4	15	0.0000
4	16	0.0000
4	17	0.0000
4	18	0.0000
4	19	0.0000
4	20	0.0000
5	1	0.0000
5	2	0.0922
5	3	0.1974
5	4	0.0225
5	5	0.0010
5	6	0.0000
5	7	0.0000
5	8	0.0000
5	9	0.0000
5	10	0.0000
5	11	0.0000
5	12	0.0000
5	13	0.0000
5	14	0.0000
5	15	0.0000
5	16	0.0000
5	17	0.0000
5	18	0.0000
5	19	0.0000
5	20	0.0000
6	1	0.0000
6	2	0.0351
6	3	0.2156
6	4	0.0683
6	5	0.0070
6	6	0.0005
6	7	0.0001
6	8	0.0000
6	9	0.0000
6	10	0.0000
6	11	0.0000
6	12	0.0000
6	13	0.0000
6	14	0.0000
6	15	0.0000
6	16	0.0000
6	17	0.0000
6	18	0.0000
6	19	0.0000
6	20	0.0000
7	1	0.0000
7	2	0.0091
7	3	0.1853
7	4	0.1353
7	5	0.0201
7	6	0.0023
7	7	0.0001
7	8	0.0000
7	9	0.0000
7	10	0.0000
7	11	0.0000
7	12	0.0000
7	13	0.0000
7	14	0.0000
7	15	0.0000
7	16	0.0000
7	17	0.0000
7	18	0.0000
7	19	0.0000
7	20	0.0000
8	1	0.0000
8	2	0.0024
8	3	0.1154
8	4	0.1920
8	5	0.0613
8	6	0.0100
8	7	0.0014
8	8	0.0002
8	9	0.0000
8	10	0.0000
8	11	0.0000
8	12	0.0000
8	13	0.0000
8	14	0.0000
8	15	0.0000
8	16	0.0000
8	17	0.0000
8	18	0.0000
8	19	0.0000
8	20	0.0000
9	1	0.0000
9	2	0.0004
9	3	0.0523
9	4	0.2163
9	5	0.1370
9	6	0.0372
9	7	0.0079
9	8	0.0013
9	9	0.0001
9	10	0.0000
9	11	0.0000
9	12	0.0000
9	13	0.0000
9	14	0.0000
9	15	0.0000
9	16	0.0000
9	17	0.0000
9	18	0.0000
9	19	0.0000
9	20	0.0000
10	1	0.0000
10	2	0.0001
10	3	0.0192
10	4	0.1779
10	5	0.2047
10	6	0.1005
10	7	0.0318
10	8	0.0060
10	9	0.0018
10	10	0.0002
10	11	0.0000
10	12	0.0000
10	13	0.0000
10	14	0.0000
10	15	0.0000
10	16	0.0000
10	17	0.0000
10	18	0.0000
10	19	0.0000
10	20	0.0000
11	1	0.0000
11	2	0.0000
11	3	0.0057
11	4	0.1106
11	5	0.2268
11	6	0.1882
11	7	0.0906
11	8	0.0332
11	9	0.0090
11	10	0.0026
11	11	0.0004
11	12	0.0001
11	13	0.0001
11	14	0.0000
11	15	0.0000
11	16	0.0000
11	17	0.0000
11	18	0.0000
11	19	0.0000
11	20	0.0000
12	1	0.0000
12	2	0.0000
12	3	0.0017
12	4	0.0509
12	5	0.1856
12	6	0.2483
12	7	0.1930
12	8	0.1115
12	9	0.0473
12	10	0.0176
12	11	0.0064
12	12	0.0019
12	13	0.0008
12	14	0.0001
12	15	0.0000
12	16	0.0000
12	17	0.0000
12	18	0.0000
12	19	0.0000
12	20	0.0000
13	1	0.0000
13	2	0.0000
13	3	0.0003
13	4	0.0143
13	5	0.1054
13	6	0.2208
13	7	0.2672
13	8	0.2215
13	9	0.1474
13	10	0.0836
13	11	0.0421
13	12	0.0194
13	13	0.0082
13	14	0.0029
13	15	0.0019
13	16	0.0008
13	17	0.0002
13	18	0.0001
13	19	0.0001
13	20	0.0001
14	1	0.0000
14	2	0.0000
14	3	0.0000
14	4	0.0037
14	5	0.0405
14	6	0.1385
14	7	0.2473
14	8	0.2994
14	9	0.2949
14	10	0.2349
14	11	0.1710
14	12	0.1131
14	13	0.0741
14	14	0.0476
14	15	0.0252
14	16	0.0141
14	17	0.0077
14	18	0.0052
14	19	0.0035
14	20	0.0019
15	1	0.0000
15	2	0.0000
15	3	0.0000
15	4	0.0005
15	5	0.0089
15	6	0.0465
15	7	0.1295
15	8	0.2439
15	9	0.3326
15	10	0.3921
15	11	0.3993
15	12	0.3750
15	13	0.3254
15	14	0.2687
15	15	0.2223
15	16	0.1785
15	17	0.1338
15	18	0.1039
15	19	0.0782
15	20	0.0581
16	1	0.0000
16	2	0.0000
16	3	0.0000
16	4	0.0000
16	5	0.0014
16	6	0.0072
16	7	0.0311
16	8	0.0830
16	9	0.1669
16	10	0.2690
16	11	0.3808
16	12	0.4905
16	13	0.5914
16	14	0.6807
16	15	0.7506
16	16	0.8066
16	17	0.8583
16	18	0.8908
16	19	0.9182
16	20	0.9399
